사용일자,요일,노선명,역명,승하차총승객수
2019-01-02,수,7호선,중곡,21245.0
2019-01-02,수,5호선,군자,28583.0
2019-01-02,수,7호선,어린이대공원,25725.0
2019-01-02,수,2호선,건대입구,34234.0
2019-01-02,수,7호선,뚝섬유원지,14169.0
2019-01-02,수,7호선,청담,48740.0
2019-01-02,수,7호선,학동,52743.0
2019-01-02,수,7호선,논현,47089.0
2019-01-02,수,7호선,반포,13518.0
2019-01-02,수,3호선,고속터미널,38743.0
2019-01-02,수,7호선,내방,32491.0
2019-01-02,수,7호선,이수,34711.0
2019-01-02,수,7호선,남성,24383.0
2019-01-02,수,7호선,숭실대입구,28764.0
2019-01-02,수,7호선,상도,22469.0
2019-01-02,수,7호선,장승배기,23417.0
